CQ#,CQ,SHACL (what the shape checks),SPARQL (what the validation query returns)
CQ1,?Are records labeled Confidential stored only in Secure repositories??,"NodeShape on Asset: if hasClassification ? {Confidential, Restricted}, then storedIn ? StorageService must have siteType=""Secure"" or approvedForMaxClass ? {Confidential, Restricted}. (Covers service-side resolution as needed.)",Assets class ? Confidential whose storage is neither secure nor approved for Confidential+.
CQ2,?Which documents of class Confidential+ lack a watermark or visible label??,"NodeShape on Document: if class ? Confidential, require hasWatermark=true OR a visible indicator (headerLabel or footerLabel).",Documents class ? Confidential with no watermark and no visible label.
CQ3,?Do any emails to external recipients include Confidential/Restricted attachments??,"NodeShape on Email: if toExternal=true, no hasAttachment may have class ? Confidential.",External emails that do carry attachments class ? Confidential.
CQ4,"?For GenAI jobs, did the asset?s class exceed the platform?s allowed max or run in a non-approved tenant/region??","NodeShape on GenAIJob: (a) processedOn.allowedMaxClass ? usedAsset.class; (b) inTenant.approved=true and (if modeled) inTenant approvedForUnit contains the asset?s unit; (c) region in approved list; (d) platform family caps (e.g., Azure OpenAI ? Internal; public GenAI = Public only); (e) if Copilot/Bing and class ? Internal ? initiatedBy.isOrgSignedIn=true.","GenAI jobs where class exceeds platform max, tenant not approved (globally or by unit), region not allowed, platform-family cap violated, or (for Copilot/Bing) org sign-in missing for Internal+."
CQ5,?Is each asset?s retention at least the policy minimum for its class (and unit)??,"NodeShape on Asset: retentionDays ? policyMinimum(class, unit) (via lookup table or policy nodes; use SHACL-SPARQL for the compare).",Assets whose retentionDays is shorter than the required minimum for their class/unit.
CQ6,?Do any assets carry a ?Confidential? label but have a lower classification??,"NodeShape on Asset: if hasLabel=""Confidential"" then hasClassification ? {Confidential, Restricted}; if label source = DLP, require provenance (appliedBy=DLP).","Assets labelled ?Confidential? but with class below Confidential, and/or with DLP label missing provenance."
CQ7,?Were any .zip/.pst files of class Internal+ sent to (or processed by) GenAI??,"NodeShape on File: if extension ? {"".zip"","".pst""} and class ? Internal ? must not be processedOn a GenAI platform.",Such files that were processed on GenAI.
CQ8,?Are Confidential physical records secured and logged??,NodeShape on PhysicalRecord: if class ? Confidential ? storedIn.isSecureCabinet=true and logged=true.,Confidential physical records not in a secure cabinet or not logged.
CQ9,?Do documents of class Internal+ carry at least an Internal (or higher) label??,NodeShape on Document: if class ? Internal ? must have hasLabel whose level ? Internal (or label applicable to doc?s class).,Documents Internal+ without an appropriate label (or label below required level).
CQ10,?Do assets of class Internal+ have both a named owner and an org-unit owner??,NodeShape on Asset: if class ? Internal ? require owner ? User and groupOwner ? OrgUnit (both present).,Internal+ assets missing either owner or groupOwner.
CQ11,?Which high-severity alerts remain unassigned beyond the target time??,"NodeShape on Alert: if severity=""High"" ? must have assignedTo and (now ? createdAt) ? SLA. (SHACL-SPARQL for date math.)",High alerts unassigned or over-SLA age.
CQ12,?Are assets stored only in services approved for their owning org unit??,NodeShape on Asset: storedIn.approvedForUnit must include fromUnit; optionally assert that if asset is Confidential then service resolves to/links a Secure repository.,Assets whose storage service is not approved for the asset?s unit (or lacks required secure resolution).
CQ13,"?Where do unit bans on external email apply, and which events violate them??",NodeShape on DistributionEvent: if to ? external ? asset class must be ? unit?s emailExternalAllowedMaxClass for sender?s unit.,External distribution events where item?s class exceeds the unit?s cap/ban.
CQ14,"?Where do unit watermark/label minima apply, and which documents violate them??",NodeShape on Document: check unit configs: if watermarkRequiredAtOrAbove ? docClass ? hasWatermark=true; if labelMinimumByClass(docClass) ? label present at ? minimum level.,Documents violating unit-specific watermark or label minima.
CQ15,"?Did any Restricted items use USB? (And for Internal items, Email allowed but USB disallowed?)?","NodeShape on TransferEvent: channel policy must permit the item?s class (e.g., Restricted cannot use USB; Internal may use Email but not USB).",Transfers where the channel is not permitted for the item?s class (USB/Email matrix violations).
CQ16,"?Who changed classifications, and were they allowed (e.g., Records Officers)??","NodeShape on ChangeClassEvent: performedBy.hasRole(""RecordsOfficer""); optionally same fromUnit as asset if required.","Classification changes by unauthorised users (or wrong unit, if enforced)."
CQ17,?Were Confidential assets moved into Secure sites by authorised Site Owners only??,"NodeShape on MoveEvent: if movedTo.isSecure=true and asset class ? Confidential ? performedBy.hasRole(""SiteOwner"").",Moves into secure sites for Confidential+ by users without SiteOwner role.
CQ18,?Do any OneDrive items violate rules (no Confidential; Internal/Sensitive only if draft + labelled)??,NodeShape on Asset (where storage family=OneDrive): Disallow class=Confidential; for Internal/Sensitive require isDraft=true and an appropriate hasLabel.,OneDrive items where Confidential exists or Internal/Sensitive lacks isDraft/label.
CQ19,?Which assets sit in allowed/forbidden services (TRIM ok; Google Workspace forbidden; Google Drive legacy-only)??,NodeShape on Asset: storage family must be on allow list; if family=GoogleDrive ? require isLegacy=true.,Assets using forbidden services or Google Drive without legacy flag.
CQ20,?Do any Network Drive/eResearch items exceed Public/Internal only??,"NodeShape on Asset (family in {NetworkDrive, eResearch}): class must be ? Internal.",Items on those families with class above Internal.
CQ21,"?For external sharing of Internal+: is encryption + out-of-band password enforced? For Confidential, are download/print disabled??","NodeShape on DistributionEvent: if to external and class ? Internal ? require encrypted=true and passwordOutOfBand=true; if class = Confidential ? additionally require drmDisableDownload=true and drmDisablePrint=true; also require subjectLabelPresent=true (and, if modeled, sensitivitySet=true) for Internal+.","External-sharing events for Internal+ missing encryption/password/subject label (and sensitivity if modeled); for Confidential, missing DRM disables."
CQ22,"?For portable-media transfers of Internal+: encrypted, hand-delivered, and custody logged??","NodeShape on TransferEvent (channel=PortableMedia): for class ? Internal require encrypted=true, handDelivered=true, custodyLogged=true.",Portable-media transfers with any of the three controls false/missing.
CQ23,?Are archiving and destruction actions appropriate to classification??,"NodeShape on LifecycleEvent: if action=destroy, destructionMethod must be in allowed set for the asset?s class; if action=archive, archiveRoute must be valid for class (via policy lookup).",Events where method/route is not permitted for the item?s class.
CQ24,"?For Teams chats with Confidential content: is there a link to a Secure site or are messages sanitised, and is membership clean??",NodeShape on TeamsChat: if class=Confidential ? (linkedToStorage.isSecure=true OR sanitised=true) AND membershipHygieneOk=true.,"Confidential chats with neither secure link nor sanitisation, or with bad membership hygiene."
