ID,Policy rule in plain English
P1,"If an Asset is Confidential, it must be stored in a Secure SharePoint site (or equivalent secure recordkeeping location)."
P2,A Document that is Confidential or higher must carry a watermark/visible indicator on every page.
P3,External emails must not include Restricted or Confidential attachments.
P4,"When an asset is processed on a GenAI platform, the asset?s classification must not exceed the platform?s maximum allowed class."
P5,An asset?s retention must follow the retention period for its classification.
P6,"If an asset has a ?Confidential? label, its classification must be ? Confidential."
P7,.zip or .pst files that are Internal or higher must not be sent to GenAI platforms.
P8,Confidential physical records must be stored in a Secure cabinet and be logged.
P9,Documents with class ? Internal must have at least an Internal label (or higher).
P10,Assets with class ? Internal must have a named owner and an org-unit group owner.
P11,High-severity alerts must be assigned within the required time; unassigned high alerts are non-compliant.
P12,Assets must be stored only in services approved for their org unit.
P13,A GenAI job must run only in an approved tenant/region; platforms limited to Internal must not process Confidential.
P14,Per-unit restrictions may ban external email for Restricted (or higher).
P15,Per-unit rules may require watermarks for ? Internal documents.
P16,Per-unit rules may require a minimum label level for assets.
P17,Restricted data must not be moved via USB.
P18,Internal data may be sent via Email (positive allowance).
P19,Only a Records Officer may change an asset?s classification.
P20,A DLP scanner may automatically apply the Confidential label; provenance must show it was applied by DLP.
P21,Assets must use storage services approved by their unit.
P22,GenAI usage must be in tenants/platforms approved for the unit.
P23,External email may be banned by unit for certain classifications.
P24,Watermarks may be required by unit for certain classifications.
P25,Label minimum may be set by unit for certain classifications.
P26,Retention may be set by unit per classification.
P27,Who may change classification may be limited by unit.
P28,GenAI tenant control may be limited by unit (approved tenants only).
P29,Only a Site Owner may move a Confidential asset into a Secure site.
P30,Only approved AU tenants may process data; a platform with Internal limit must not process Confidential.
P31,Restricted data cannot use USB.
P32,Internal data may use Email.
P33,Internal is allowed via Email but not via USB.
P34,Storage services must resolve Confidential items to a Secure site (service-side rule).
P35,Page labelling (header/footer/watermark) is required for Internal/Sensitive/Confidential documents.
P36,Emails for Internal+ require a subject label token; higher classes may require sensitivity property set.
P37,Assets of Internal+ must have a visible label when viewed and a file-property label recorded.
P38,"When using Bing/Copilot, the user must be signed in to the organisation account before uploading Internal+."
P39,Azure OpenAI is allowed for Public/Internal only.
P40,"Other public GenAI (e.g., ChatGPT, Gemini) is Public-only."
P41,Confidential in Teams chat is allowed only if the chat is linked to a Secure site or the content is sanitised and membership is clean.
P42,OneDrive is not for Confidential; Internal/Sensitive allowed only if draft/WIP and labelled.
P43,Content Manager/TRIM is appropriate for all classes (allow list).
P44,Google Workspace/Drive is not authorised; Google Drive allowed only for legacy content (no new content).
P45,Network Drive/eResearch may store Public/Internal only.
P46,"For Internal+ sent externally: encrypt, send password out-of-band, prefer links; for Confidential also disable download/print."
P47,"For Internal+ on portable media: encrypt, hand-deliver, and log custody."
P48,Archiving and destruction methods must be appropriate to classification (secure routes and destruction).
